ref,nama,alamat,kota,provinsi
jbk-75,PT. Busfimac Indonesia,"Jl. Jababeka IIA Blok C 11 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-76,PT. Busmifac Indo,"Jl. Jababeka IIA Blok C 11 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-77,PT. Byung Hwa Indonesia,"Jl. Jababeka VI Blok J 4 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-78,PT. C & P Indonesia,"Jl. Jababeka XVII B Blok U 19 A, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-79,PT. Cahaya Indotama Enginering,"Jl. Jababeka V Blok F No. 4, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-80,PT. Cahaya Kalbar Tbk,"Jl. Industri Selatan 3 Blok GG 1, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-81,PT. Cahaya Kalimantan Indah (Sinar Harindotama),"Jl. Jababeka V Blok F 4, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-82,PT. Cahaya Miitra Suksestama (Endelica),"Jl. Jababeka XIA Blok K 9 B, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-83,PT. Cahaya Sam Perindasan,"Jl. Jababeka X Blok F 6, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-84,PT. Cahaya Sukses Mandiri,"Jl. Industri Selatan Blok HH 6, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-85,PT. Cahayatama Kumala Makmur,"Jl. Jababeka IIA Blok C 11 J, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-86,PT. Cahayatiara Mustika Scientific Indonesia,"Jl. Jababeka IX Blok P 6 H, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-87,PT. Capitol Gravure Industries,"Jl. Jababeka XIIB Blok V 34-36, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-88,PT. Capung Indah Abadi,"Jl. Jababeka IIIH Blok C 17 AT, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
jbk-89,PT. Casco Persada Indonesia,"Jl. Industri Utara 1 Blok SS 18, Kawasan Industri Jababeka, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",Kabupaten Bekasi,Jawa Barat
