,,,:,densitas cairan saat penimbangan,,,,,0.9978701386783387 [=AF49],,,:,diameter stem hidrometer,,,,0.709 [=Q26],cm,,,6. Penentuan nilai Massa hydrometer terkoreksi,,,,,,,,,,,,,,,,
,,,:,massa hydrometer saat ditimbang di udara,,,,,39.927001033513 [=(($E$25-$AF$84)*(1-($J$78/$AF$85)))-$AF$86-($AF$87-$AF$88)],,,:,surface tension untuk hidrometer yang akan dikalibrasi,,,,17.5 [=G26],dyne/cm,,,,,,,,,,,,,,,,,,,
,,,:,massa konvensional hidrometer saat timbangan di cairan acuan,,,,,each cell,,,:,massa konvensional dari beban tambahan di cairan acuan,,,,54.0052 [=E24],g,,,,,,,,,,,,,,,,,,,
,,,:,"densitas cairan pada kondisi referensi, pada suhu T dan tekanan P",,,,,0.9980761251005233 [=AF47],,,:,suhu acuan hidrometer,,,,15 [=E27],oC,,,,,,,,,,,,,,,,,,,
,,,:,koefisien ekspansi volumetrik bahan,,,,,1e-05,,,,,,,,,,,,,= [=],rata-rata pembacaan penimbangan hydrometer,,,,,,,,each cell,,,,,,
,,,:,"faktor koreksi suhu, tanpa pengaruh dimensi",,,,,1.000006 [=AD77],,,,,,,,,,,,,= [=],kesalahan indikasi alat timbang yang telah dikalibrasi,,,,,,,,0.0002,percobaan penimbangan AT 100 gram beberapa kali pada kondisi yang sama,,,,,
,,,:,faktor koreksi densitas dari referensi bahan akibat perubahan tekanan,,,,,1.0000000020025 [=AD31],,,,,,,,,,,,,= [=],densitas konvensional beban standar,,,,,,,,8,g/ml,,,,,
,,,:,isothermal compressibility coefficient of the fluid,,,,,2.5e-11 [=2.5/100000000000],,,,,,,,,,,,,= [=],kesalahan karena resolusi terbatas alat timbang dengan hidrometer yang digantung,,,,,,,,0,,,,,,
,,,:,kesalahan densitas karena (kurangnya) stabilitas nilai densitas referensi (g/cm3),,,,,0.0002,,,,,,,,,,,,,= [=],"indikasi alat timbang tanpa beban, jika alat timbang di Tare sebelum meletakkan beban",,,,,,,,0,,,,,,
,,,:,"faktor koreksi cairan, tanpa pengaruh dimensi",,,,,1.000006 [=AD41],,,,,,,,,,,,,= [=],Kesalahan karena resolusi terbatas alat timbang tanpa beban,,,,,,,,0,,,,,,
,,,:,phi,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,percepatan gravitasi,,,,,980.665 [=9.80665*100],cm/s2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,Densitas beban tambahan,,,,,8,g/cm3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Data Olahan,,: *diambil di cell masing-masing skala pengukuran (point of calibration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,densitas cairan acuan (g/ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,massa konvensional hidrometer saat timbangan di cairan acuan (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,suhu cairan acuan saat kalibrasi hidrometer (oC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Beban Tambahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tetapan-tetapan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,:,Massa beban tambahan,,,,,54.0052 [=PERHITUNGAN!E24],,,,,,,,,,,,,,,,,,,,,,,,,,,,
