Standar yang digunakan,,,:,Standard Name,,,Merk,Type,SN,,Alat bantu,,,Merk,Type,SN,,,,,,,,,,,,,,,,,,,
,,,,Timbangan Analitik,,,Fujitsu,FS-AR210,INS-N1600555,,Thermohygro,,,HTC,-,TH-3,,,,,,,,,,,,,,,,,,,
,,,,Digital Caliper,,,Tesa,Cal-IP67,LPI 0368,,Thermobarometer,,,Lutron,MHB372,AM02225,,,,,,,,,,,,,,,,,,,
,,,,Temperature Calibrator,,,Yokogawa,CA 150 Handy,23P1005,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Temperature Sensor,,,Tc-Limited,PRT-PT100,SH1/20,,,,,,,,,,,,,,,,,,,,,,,,,,
Model matematis pengukuran,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION BUDGET UNCERTAINTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Hydrometer [='INPUT DATA'!E10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas,,:,0.65 [=PERHITUNGAN!G8],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolusi,,:,0.0005 [=PERHITUNGAN!G9],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty of Calibrator (Standard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Water Destillate Weighing (U massa aqudest),,,,,,,2,Temperature (U Temperature),,,,,,,,,,,,,,,,,,,,,,,,,,
,a.,Utimb (g),= [=],,,,,,a.,U95% Thermometer Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,LOP atau read.,:,0.00074,,,,,,U95% Thermometer,,:,0.72,,,,,,,,,,,,,,,,,,,,,,
,,k atau 31/2,:,2,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,Utimb (g),= [=],0.00037 [=E29/E30],,,,,,Utemp. (oC),,= [=],0.36 [=N29/N30],,,,,,,,,,,,,,,,,,,,,,
,b.,Urepeat (g),= [=],,,,,,b.,U95% Sensor Certificate (oC),,= [=],,,,,,,,,,,,,,,,,,,,,,,
,,stdev timb,:,0.0001,,,,,,U95% Sensor,,:,0.06,,,,,,,,,,,,,,,,,,,,,,
,,n,:,10,,,,,,k,,:,2,,,,,,,,,,,,,,,,,,,,,,
,,K Factor & Confident Level 95%,,,,,,,,"1.9791241094237992 [=TINV(0.05,K76)]",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Expanded Uncertainty, U = k.Uc",,,,,,,,0.0004823402652267381 [=K75*K77],,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CMC :,0.0007,g/ml,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,U95% sert,0.0007 [=MAX(K78:L79)],g/ml,,,,,,,,,,,,,,,,,,,,,,,
,SKALA 2,,,0.625 [=PERHITUNGAN!H33],g/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ut,: ,Ketidakpastian Temperatur meter,,,0.36239941133138354 [=$N$43],oC,,,fta,:,Temperature Correction factor udara,,,1.4500000009011242 [=$Q$49],,,,,,,,,,,,,,,,,,,
,,Uth,: ,Ketidakpastian Thermohygro,,,1.2041594578792296 [=PERHITUNGAN!$P$15],oC,,,ftl,:,Temperature Correction factor liquid,,,1.6000000012015014 [=1+(PERHITUNGAN!$J$85*(PERHITUNGAN!H52-20))],,,,,,,,,,,,,,,,,,,
,,,,,,,3.1622776601683795 [=PERHITUNGAN!$P$16],%RH,,,,:,1.5969218013600273 [=PERHITUNGAN!H59*Q85],,,,,,,,,,,,,,,,,,,,,,
,,Uv,:,Ketidakpastian Vernier ,,,0.0015 [=$H$52],cm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Koefisien Sensitivitas (7.9),,,Koefisien Sensitivitas (7.11),,,Koefisien Sensitivitas suhu air,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.004457126533917297 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!H44+'NILAI U95%'!$E$44)*('NILAI U95%'!$H$44-'NILAI U95%'!$H$45))-(('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)))*$O$55],Mass Hydrometer diudara,,-0.3065177192667157 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!H44+'NILAI U95%'!$E$44)*('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(-'NILAI U95%'!$J$45)-(('NILAI U95%'!$H$44-'NILAI U95%'!$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)*(-'NILAI U95%'!$L$45)))*(PERHITUNGAN!$R$78-PERHITUNGAN!H44+'NILAI U95%'!$E$44)^-2)],Lokal Gravity,,0.810059731204111 [=PERHITUNGAN!$L$59*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)/(PERHITUNGAN!$R$78-PERHITUNGAN!H44+'NILAI U95%'!$E$44)],,,,,,0.0002407288671319638 [=(PERHITUNGAN!$R$78-PERHITUNGAN!H44+E79)^-2],,,,,,,,,,,,,,,,,,,,,
,,Koefisien Sensitivitas (7.10),,,Koefisien Sensitivitas (7.12),,,Koefisien Sensitivitas suhu udara,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3065195583730313 [=(((PERHITUNGAN!$R$78-PERHITUNGAN!H44+$E$44)*(($H$44-$H$45)*$E$45))-(($H$44-$H$45)*(PERHITUNGAN!$R$78+$E$45)*$E$44))*(PERHITUNGAN!$R$78-PERHITUNGAN!H44+$E$44)^-2],Stem Diameter,,0.01358887753332108 [=(($H$44-$H$45)*(PERHITUNGAN!$R$78+$E$45)*$E$43)*'NILAI U95%'!$O$55],Surface Tension,,0.00020752795731697699 [=PERHITUNGAN!$J$78-(PERHITUNGAN!$J$78*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)/(PERHITUNGAN!$R$78-PERHITUNGAN!H44+'NILAI U95%'!$E$44))],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.019203318642506156 [=((($H$44-$H$45)*(PERHITUNGAN!$R$78+'NILAI U95%'!$E$45)))*$O$55],Mass Hydrometer diCairan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Component,Unit,Distribution,U,Divisor,vi,ui,ci,uici,(uici)2,(uici)4/vi,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,,,,,,,
,,Hydrometer Indication,g/ml [=$F$21],Rectangular,2.2901952194437586e-05 [=PERHITUNGAN!H110],1.7320508075688772 [=SQRT(3)],2 [=3-1],1.3222448264426481e-05 [=F97/G97],1,1.3222448264426481e-05 [=I97*J97],1.7483313810543487e-10 [=K97^2],1.528331308989703e-20 [=(L97^2)/H97],,,,,,,,,,,,,,,,,,,,,,,
,,Resolution of Hydrometer,g/ml [=$F$21],Rectangular,0.0005 [=$E$22],3.4641016151377544 [=SQRT(12)],50,0.00014433756729740645 [=F98/G98],1,0.00014433756729740645 [=I98*J98],2.0833333333333335e-08 [=K98^2],8.680555555555556e-18 [=(L98^2)/H98],,,,,,,,,,,,,,,,,,,,,,,
,,Liquid Temperature,oC,Normal,4.9133333333333515e-11 [=(PERHITUNGAN!$J$83^2*$H$49^2)+((PERHITUNGAN!H52-20)^2*PERHITUNGAN!$J$83^2)],2,60,2.4566666666666758e-11 [=F99/G99],0.810059731204111 [=I90],1.9900467396581067e-11 [=I99*J99],3.9602860260238603e-22 [=K99^2],2.6139775679866434e-45 [=(L99^2)/H99],,,,,,,,,,,,,,,,,,,,,,,
,,Air Temperature,oC,Normal,1.6524999999999997e-10 [=(PERHITUNGAN!$J$83^2*$H$50^2)+((PERHITUNGAN!$G$15-20)^2*PERHITUNGAN!$J$83^2)],2,60,8.262499999999999e-11 [=F100/G100],0.00020752795731697699 [=I92],1.714699747331522e-14 [=I100*J100],2.9401952234987854e-28 [=K100^2],1.4407913253808452e-57 [=(L100^2)/H100],,,,,,,,,,,,,,,,,,,,,,,
,,Density of Liquid Reference,g/ml [=$F$21],Normal,5e-05,2,60,2.5e-05 [=F101/G101],1,2.5e-05 [=I101*J101],6.25e-10 [=K101^2],6.5104166666666674e-21 [=(L101^2)/H101],,,,,,,,,,,,,,,,,,,,,,,
,,Density of Air,g/ml [=$F$21],Rectangular,0.00011016523357163884 [=10%*PERHITUNGAN!$J$78],3.4641016151377544 [=SQRT(12)],50,3.180196362896184e-05 [=F102/G102],1,3.180196362896184e-05 [=I102*J102],1.0113648906578116e-09 [=K102^2],2.0457178841105744e-20 [=(L102^2)/H102],,,,,,,,,,,,,,,,,,,,,,,
,,Mass of Hydrometer in the air,g,Normal,0.0003713488925525428 [=$E$39],2,60,0.0001856744462762714 [=F103/G103],0.004457126533917297 [=C90],8.275745011683709e-07 [=I103*J103],6.84879554984078e-13 [=K103^2],7.817666747253145e-27 [=(L103^2)/H103],,,,,,,,,,,,,,,,,,,,,,,
,,Mass of Hydrometer in Liquid Ref,g,Normal,0.0003713488925525428 [=F103],2,60,0.0001856744462762714 [=F104/G104],0.019203318642506156 [=C93],3.5655655556141305e-06 [=I104*J104],1.2713257731381903e-11 [=K104^2],2.6937820357423624e-24 [=(L104^2)/H104],,,,,,,,,,,,,,,,,,,,,,,
,,Stem Diameter,cm,Rectangular,0.0020000000000000018 [=PERHITUNGAN!$N$27-PERHITUNGAN!$P$27],3.4641016151377544 [=SQRT(12)],50,0.0005773502691896263 [=F105/G105],0.3065195583730313 [=C92],0.000176969149538555 [=I105*J105],3.131807988839944e-08 [=K105^2],1.9616442557923392e-17 [=(L105^2)/H105],,,,,,,,,,,,,,,,,,,,,,,
