PERHITUNGAN U95%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Resolution Value :,,,,Divisor for Resolution:,,,,"Jika standar deviasi =0 (timbangan kasar) , maka STDEV = 0.82 X a",,,,,,,,Index AT used :,,20,,,,,,
,Digital,,:,0.01,,1.7320508075688772,,,a :,0.01,(jika digital),,→,0.008199999999999999,,,Max AT used :,,M2 20kg,,,,,,
,Mekanik,,:,0.002,,2.449489742783178,,,a :,0.002,(jika mekanik),,→,0.00164,,,,,,,,,,,
,,,,,,,,Max,,,,,,,For uncertainty (Ref: NMI Monograph 4) :,,,,,,,,,,
,,,,,,,S,,Sres MAX :,0.008199999999999999,→,U Max=,0.008199999999999999,,"Sr>Sres , standard uncertainty U= Sr/√n",,,,,,,,,,
,,,,,,,Sr,,,,,,,,"Sr=Sres, standartd uncertainty U=Sr",,,,,,,,,,
,,,,,,Note:,,,,,,,,,,,,,,,,,,,
,,,,,,S: stdev on n-repeat measurement,,,,,,,,,,,,,,,,,,,
,,,,,,Sr: stdev 1 cycle accuration measurement,,,,,,,,,,,,,,,,,,,
,Point 1,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9989715170333793,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.04880003434549503,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.04880003434549503,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 8,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 1,,,,,kg,Rectangular,,0.024042658232300416,Ö3,,50,,0.024042658232300416,,1,0.000578049414875203,,6.68282252075129e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.0006447160815418682,,6.7272669651957325e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.025391259943962376,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,61.78717567611904,,,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9996235849949404,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.050772962236684475,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.050772962236684475,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 9,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 1,,,,,kg,Rectangular,,0.024044086689306306,Ö3,,50,,0.024044086689306306,,1,0.0005781181047228767,,6.684410860167421e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.000644784771389542,,6.728855304611864e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.025392612535726646,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,61.7857544255583,,,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,1.9996235849949404,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.050775666911077176,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
,U95% Sertifikat,,,,,,,,,,,,,,,,0.050775666911077176,,,,kg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Point 10,,,,,,,,,,,,,,,,,,,,,,,,
,Component,,,,,Unit,Distribution,,U,Divider,,Vi,,Ui,,Ci,(UiCi)²,,(UiCi)4/Vi,,,,,,
,Resolution,,,,,kg,Rectangular,,0.01,1.7320508075688772,,50,,0.005773502691896258,,1,3.3333333333333335e-05,,2.2222222222222225e-11,,,,,,
,Eccentricity,,,,,kg,Rectangular,,0.009999999999999787,Ö3,,50,,0.005773502691896135,,1,3.333333333333191e-05,,2.222222222222033e-11,,,,,,
,Uncertainty of Correction - Point 1,,,,,kg,Rectangular,,0.02505033201863158,Ö3,,50,,0.02505033201863158,,1,0.0006275191342436786,,7.875605276838718e-09,,,,,,
,Total,,,,,,,,,,,,,,,,0.0006941858009103438,,7.92004972128316e-09,,,,,,
,"Standard Uncertainty Combined, uc, g",,,,,,,,,,,,,,,,0.02634740596169467,,,,,,,,
,"Degrees of Effective Freedom, Veff",,,,,,,,,,,,,,,,60.84481072013547,,,,,,,,
,"Coverage Factor, k for Veff & CL 95%",,,,,,,,,,,,,,,,2.000297822014261,,,,,,,,
,"Stretch Uncertainty, U = k . Uc, g",,,,,,,,,,,,,,,,0.0527026587609034,,,,,,,,
,CMC,,,,,,,,,,,,,,,,0.033,,,,kg,,,,
