,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2025-02-14 00:00:00,,,,Link calculator : https://www.fluke.com/en-us/learn/tools-calculators/pt100-calculator?srsltid=AfmBOoqPe_j-N87lgotXxrFrPdjOLAJ5b_2mxDXIuBjJ08XiQ4F74QBR
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2027-02-15 00:00:00 [=J2+[6]DATABASE!AF2+1],,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,,
,,,,,,,,,,,,0 [=D14-1],
Lama:,,Terbaru :,,,,,,,,,,,
,,,,,0.003878 [='FC Prt Pt100'!B10],,,A,0.00390954 [=C10],,,,
A,0.003878,0.00390954,A,,,,,B,-6.70888e-07 [=C11],,,,
B,-5.861e-07,-6.70888e-07,B,,,,,C,6.32935e-12,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C),
-10,96.358344,100.285707,0.9608382578386768 [=B57/C57],-0.039161742161323176 [=D57-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F57+G57],,,,-10.004024759417508 [=N56-((1+$J$9*N56+$J$10*(N56^2)+$J$11*(N56^3)*(N56-100)-D57)/($J$9+2*$J$10*N56-300*$J$11*(N56^2)+4*$J$11*(N56^3)))],0.004024759417507795 [=A57-L57],-10.004024759417508 [=L57]
-15,94.389758,100.285707,0.9412084814838071 [=B58/C58],-0.05879151851619291 [=D58-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F58+G58],,,,-15.004075474959723 [=L57-((1+$J$9*L57+$J$10*(L57^2)+$J$11*(L57^3)*(L57-100)-D58)/($J$9+2*$J$10*L57-300*$J$11*(L57^2)+4*$J$11*(L57^3)))],0.00407547495972338 [=A58-L58],
-20,92.417994,100.285707,0.9215470156679455 [=B59/C59],-0.0784529843320545 [=D59-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F59+G59],,,,-20.00396916367653 [=L58-((1+$J$9*L58+$J$10*(L58^2)+$J$11*(L58^3)*(L58-100)-D59)/($J$9+2*$J$10*L58-300*$J$11*(L58^2)+4*$J$11*(L58^3)))],0.003969163676529774 [=A59-L59],
-25,90.443134,100.285707,0.9018546780549694 [=B60/C60],-0.09814532194503056 [=D60-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F60+G60],,,,-25.00384993849705 [=L59-((1+$J$9*L59+$J$10*(L59^2)+$J$11*(L59^3)*(L59-100)-D60)/($J$9+2*$J$10*L59-300*$J$11*(L59^2)+4*$J$11*(L59^3)))],0.0038499384970513972 [=A60-L60],
-30,88.465267,100.285707,0.8821323561093307 [=B61/C61],-0.11786764389066928 [=D61-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F61+G61],,,,-30.00372129564389 [=L60-((1+$J$9*L60+$J$10*(L60^2)+$J$11*(L60^3)*(L60-100)-D61)/($J$9+2*$J$10*L60-300*$J$11*(L60^2)+4*$J$11*(L60^3)))],0.003721295643888567 [=A61-L61],
-35,86.484494,100.285707,0.8623810569536096 [=B62/C62],-0.13761894304639044 [=D62-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F62+G62],,,,-35.003580673964116 [=L61-((1+$J$9*L61+$J$10*(L61^2)+$J$11*(L61^3)*(L61-100)-D62)/($J$9+2*$J$10*L61-300*$J$11*(L61^2)+4*$J$11*(L61^3)))],0.003580673964115988 [=A62-L62],
-40,84.500925,100.285707,0.8426018774539825 [=B63/C63],-0.15739812254601748 [=D63-1],0.00390954 [=$C$10],-6.70888e-05 [=100*$C$11],0.0038424512000000003 [=F63+G63],,,,-40.00342684530068 [=L62-((1+$J$9*L62+$J$10*(L62^2)+$J$11*(L62^3)*(L62-100)-D63)/($J$9+2*$J$10*L62-300*$J$11*(L62^2)+4*$J$11*(L62^3)))],0.00342684530068027 [=A63-L63],
Rentang Suhu 0C,U95% 0C,,,,,,,,,,,,
-40-0,0.08,,,,,,,,,,,,
0-100,0.06,,,,,,,,,,,,
100-200,0.06,,,,,,,,,,,,
