,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Temperature Recorder,,,,,,,,,,,Tanggal Kalibrasi ,,:,2021-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,Type,:,"6100A (TYPE N,K)",,,,,,,,,,,Due Date Kalibrasi,,:,2022-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,
,S/N,:,253341,,,,,,,,,,,Tertelusur,,:,LK-202-IDN,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL NILAI KOREKSI TEMPERATURE RECORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi,,Correction (oC) Type N,,,,,,,,,,,,,,,,Correction (oC) Type K,,,,,,,,,,,,,,,,,,,,,
,oC,,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,,,,,,
,25,,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,-0.03374999999999999,2.415,2.415,,,,,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,-0.17500000000000002,,,,,,
,50,,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,2.35,2.35,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,,,,,,
,100,,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,0.16499999999999998,1.575,1.575,,,,,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,,,,,,
,150,,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,0.2975,1.05,1.05,,,,,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.45499999999999996,,,,,,
,200,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.7749999999999999,0.7749999999999999,,,,,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,,,,,,
,300,,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.975,0.975,,,,,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,,,,,,
,400,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,2.175,2.175,,,,,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,-0.05500000000000001,,,,,,
,500,,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,1.225,0.9299999999999999,0.9299999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.4900000000000002,1.9899999999999998,1.9899999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,2.8000000000000003,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,
