STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,300,0.10000000000000853,-0.10000000000000853,-0.15002501250627304,,0.12000000000000455,-0.16499999999999204,0.2600000000000193,,,,300,0.45000000000000284,-0.14999999999999147,-0.14999999999999147,,,,,-0.05000000000001137,,,\\Desktop-1gik182\sidcal\SIDIK\7.5 Rekaman Teknis\01. MASTER OLAH DATA\Record Drift\1. Drift kalibrator temp baru 04 juni 2024,,,,,,,,,
,400,0.10000000000002274,-0.10000000000002274,-0.20000000000004547,,0.14999999999997726,-0.19999999999998863,0.22000000000002728,,,,400,0.5,-0.19999999999998863,-0.19999999999998863,,,,,-0.10000000000002274,,,,,,,,,,,,
,500,0.1500000000000341,-0.05000000000001137,-0.09995002498752886,,,-0.004999999999967031,0.20500000000004093,,,,500,0.5,-0.24999999999997158,-0.29999999999998295,,,,,-0.1500000000000341,,,,,,,,,,,,
,600,0.20000000000004547,0,0,0.10000000000002274,,0.19000000000005457,0.19000000000005457,,,,600,0.5,-0.2999999999999545,-0.39999999999997726,,,,,-0.20000000000004547,,,,,,,,,,,,
,700,0.15000000000003416,0,0.05000000000001137,0.1349999999999909,,0.21000000000003638,0.2650000000000432,,,,700,0.4499999999999887,-0.3499999999999659,-0.44999999999998863,,,,,-0.20000000000004547,,,,,,,,,,,,
,800,0.10000000000002274,0,0.10000000000002274,0.16999999999995907,,0.2300000000000182,0.34000000000003183,,,,800,0.39999999999997726,-0.39999999999997726,-0.5,,,,,-0.20000000000004547,,,,,,,,,,,,
,900,,0.10000000000002274,0.1500000000000341,0.2349999999999568,,0.22000000000002728,0.32499999999998863,,,,900,,-0.5,-0.5500000000000114,,,,,-0.25,,,,,,,,,,,,
,1000,,0.20000000000004547,0.20000000000004547,0.2999999999999545,,0.21000000000003638,0.30999999999994543,,,,1000,,-0.6000000000000227,-0.6000000000000227,,,,,-0.2999999999999545,,,,,,,,,,,,
,1200,,0,0,0.31999999999993634,,0.42000000000007276,0.35999999999989996,,,,1200,,-0.7000000000000455,-0.7000000000000455,,,,,,,,,,,,,,,,,
,1400,,,0,0.40000000000009095,,,0,,,,1400,,,,,,,,,,,,,,,,,,,,
,1700,,,0,0.5299999999999727,,,0,,,,1700,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABEL U95% TEMPERATURE KALIBRATOR,,,,,,,,,,,TABEL U95% TEMPERATURE KALIBRATOR,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),U95% ± oC,,,,,,,,,,Titik Kalibrasi (oC),U95% ± oC,,,,,,,,,,,,,,,,,,,
