STANDAR METER/INDIKATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,TABEL RECORD DRIFT,,,,,,,,,
,400,0.66,0.54,0.7,,0.35,0.74,0.81,,,,400,0.72,-0.06999999999999318,0.31,,,0.72,0.73,0.25,,,,,,,,,,,,
,500,0.66,0.54,0.7,,,0.74,0.81,,,,500,0.72,-0.10499999999998977,0.34,,,0.72,0.59,0.25,,,,,,,,,,,,
,600,0.66,0.54,0.7,1,,0.74,0.81,,,,600,0.72,-0.13999999999998636,0.34,#REF!,,0.42,0.59,0.25,,,,,,,,,,,,
,700,0.66,0.54,0.7,1,,0.74,0.81,,,,700,0.72,-0.16500000000002046,0.34,#REF!,,0.42,0.59,0.25,,,,,,,,,,,,
,800,0.66,0.54,0.7,1,,0.74,0.81,,,,800,0.72,-0.19000000000005457,0.34,#REF!,,0.42,0.59,0.25,,,,,,,,,,,,
,900,,0.54,0.7,1,,0.74,0.81,,,,900,,-0.24500000000000455,0.34,#REF!,,0.42,0.59,0.25,,,,,,,,,,,,
,1000,,0.54,0,1,,0.74,0.81,,,,1000,,-0.2999999999999545,0.34,#REF!,,0.42,0.59,0.25,,,,,,,,,,,,
,1200,,0,0,1,,0.74,0.81,,,,1200,,-0.30999999999994543,0.36,#REF!,,0.42,0.56,0.25,,,,,,,,,,,,
,1400,,,,1,,,0,,,,1400,,,,#REF!,,,,,,,,,,,,,,,,
,1700,,,,1,,,0,,,,1700,,,,#REF!,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDAR SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2020-09-15T00:00:00,,,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2020-09-25T00:00:00,,,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2021-08-24T00:00:00,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2022-09-15T00:00:00,,,Type,:,Type K,,,Due Date Kalibrasi,,:,2022-09-25T00:00:00,,,Type,:,Type N,,,Due Date Kalibrasi,,:,2023-08-24T00:00:00,
,S/N,:,SH1/20,,,Tertelusur,,:,SNSU-BSN,,,S/N,:,KJ25-01 ~ 16,,,Tertelusur,,:,LK-202-IDN,,,S/N,:,3~12,,,Tertelusur,,:,LK-064-IDN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABEL KOREKSI SENSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Titik Kalibrasi (oC),Correction oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRT PT100,Type K,,,,,,,,,,,,,,,,Type N,,,,,,,,,,,No,,
,,,KJ25-01,KJ25-02,KJ25-03,KJ25-04,KJ25-05,KJ25-06,KJ25-07,KJ25-08,KJ25-09,KJ25-10,KJ25-11,KJ25-12,KJ25-13,KJ25-14,KJ25-15,KJ25-16,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,,1,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,2,,
,-20,,,,,,,,,,,,,,,,,,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,3.6399999999999997,,3,,
,0,#REF!,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,0.012999999999999998,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,,4,,
,25,#REF!,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,0.1305000000000014,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,2.415,,5,,
,50,#REF!,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,0.1700000000000017,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,,6,,
,100,#REF!,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,0.20000000000000284,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,1.575,,7,,
,150,#REF!,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,0.1150000000000091,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,,8,,
,200,#REF!,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,,9,,
,300,#REF!,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,-0.0649999999999693,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,,10,,
