,,,,,,,,,,,,
,Nama Alat,:,Thermocouple ,,,Tanggal Kalibrasi ,,:,2022-09-19T00:00:00,,,
,Type,:,PRT PT100,,,Due Date Kalibrasi,,:,2024-09-19T00:00:00,,,
,S/N,:,SH1/20,,,Tertelusur,,:,LK-070-IDN,,,
,For t ≥0 oC :,,,,,,,For t≤0 oC :,,,,
,,,,,,,,,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,0.003878,,,A,0.003501,,,
A,0.003878,,,,,,,B,-2.1e-05,,,
B,-5.861e-07,,,,,,,C,5e-09,,,
,,,,,,,,,,,,
Set point (0C),Rt,R0,Rt/R0,1-Rt/R0,-4B*,A2,A2-4B*,Akar,-A+akar,2B,-A+akar/2B(UUT) 0C,Koreksi (0C)
355,231.080938,100.28703,2.304195647233745,-1.3041956472337448,-3.0575562753747914e-06,1.5038883999999999e-05,1.1981327724625208e-05,0.0034614054551042137,-0.0004165945448957862,-1.1722e-06,355.3954486399814,-0.3954486399813959
360,232.819022,100.28703,2.3215267417930314,-1.3215267417930314,-3.098187293459583e-06,1.5038883999999999e-05,1.1940696706540415e-05,0.0034555313204397984,-0.0004224686795602016,-1.1722e-06,360.4066537793905,-0.40665377939052405
365,234.554214,100.28703,2.3388289991238147,-1.3388289991238147,-3.138750705545871e-06,1.5038883999999999e-05,1.1900133294454128e-05,0.0034496569821438955,-0.0004283430178561045,-1.1722e-06,365.41803263615805,-0.41803263615804553
370,236.286515,100.28703,2.3561024291974744,-1.3561024291974744,-3.179246535010559e-06,1.5038883999999999e-05,1.185963746498944e-05,0.003443782435780379,-0.0004342175642196209,-1.1722e-06,370.4295889947286,-0.42958899472859
375,238.015925,100.28703,2.3733470320140104,-1.3733470320140104,-3.219674781853646e-06,1.5038883999999999e-05,1.1819209218146353e-05,0.0034379076802826384,-0.0004400923197173615,-1.1722e-06,375.4413237650243,-0.4413237650243218
380,239.742443,100.28703,2.3905627976020427,-1.3905627976020427,-3.260035422698229e-06,1.5038883999999999e-05,1.1778848577301771e-05,0.0034320327179824164,-0.00044596728201758357,-1.1722e-06,380.453234957843,-0.4532349578429944
385,241.466071,100.28703,2.4077497459043307,-1.4077497459043307,-3.300328504298113e-06,1.5038883999999999e-05,1.1738555495701885e-05,0.003426157540992808,-0.0004518424590071921,-1.1722e-06,385.46532930147765,-0.4653293014776523
390,243.186807,100.28703,2.4249078569781157,-1.4249078569781157,-3.3405539798994946e-06,1.5038883999999999e-05,1.1698330020100503e-05,0.0034202821550422566,-0.0004577178449577434,-1.1722e-06,390.4776019090116,-0.4776019090115824
395,244.904652,100.28703,2.4420371407947767,-1.4420371407947767,-3.3807118728792744e-06,1.5038883999999999e-05,1.1658172127120724e-05,0.0034144065556287705,-0.0004635934443712295,-1.1722e-06,395.4900566210796,-0.4900566210795887
400,246.619605,100.28703,2.459137587382935,-1.4591375873829349,-3.4208021598605523e-06,1.5038883999999999e-05,1.1618081840139447e-05,0.0034085307450776275,-0.0004694692549223724,-1.1722e-06,400.50269145399454,-0.5026914539945437
-5,98.485551,100.28703,0.9820367698594723,,,,,,,,-12.821720300162522,7.8217203001625215
-10,96.622442,100.28703,0.9634590036219041,,,,,,,,-9.992662341317137,-0.0073376586828626245
-15,94.74866,100.28703,0.9447748128546632,,,,,,,,-14.976114888883586,-0.023885111116413782
-20,92.923001,100.28703,0.9265704747662783,,,,,,,,-19.865334074057003,-0.13466592594299698
Rentang Suhu 0C,U95% 0C,,,,,,,,,,,
-20-0,0.04,,,,,,,,,,,
0-100,0.036,,,,,,,,,,,
100-250,0.036,,,,,,,,,,,
250-400,0.08,,,,,,,,,,,
